,property_id,address,street_name,city,rstate,postcode,price,zestimate,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,property_type,property_status,agency_name
0,59169678,"8 Gloucester St APT 12, Boston, MA 02115",Gloucester St APT 12,Boston,MA,2115,1175000,1202100,2,2,1019,1153,1306.8,CONDO,FOR_SALE,Engel & Volkers Boston
3,59101641,"31 Homestead St #1, Boston, MA 02121",Homestead St #1,Boston,MA,2121,455000,461100,3,2,369,1232,1306.8,CONDO,FOR_SALE,Unlimited Sotheby's International Realty
7,59171381,"386 Riverway APT 2, Boston, MA 02115",Riverway APT 2,Boston,MA,2115,495000,590100,1,1,529,934,934.0,CONDO,FOR_SALE,"Longwood Residential, LLC"
8,189924486,"87-89 Nottinghill Rd, Boston, MA 02135",89 Nottinghill Rd,Boston,MA,2135,999000,999000,4,4,403,2478,2613.6,MULTI_FAMILY,FOR_SALE,Donnelly + Co.
12,118162434,"301 Chestnut Ave #1, Boston, MA 02130",Chestnut Ave #1,Boston,MA,2130,799000,814700,2,2,700,1141,1306.8,CONDO,FOR_SALE,McCormack & Scanlan Real Estate
15,59188486,"402 Marlborough St APT 1, Boston, MA 02115",Marlborough St APT 1,Boston,MA,2115,1179000,1178600,1,2,1023,1152,1306.8,CONDO,FOR_SALE,Compass
17,81854345,"65 Highland St #2, Boston, MA 02119",Highland St #2,Boston,MA,2119,739000,739000,3,2,479,1540,1742.4,CONDO,FOR_SALE,Keller Williams Realty Boston-Metro | Back Bay
21,59168062,"30 Peterborough St APT 34, Boston, MA 02215",Peterborough St APT 34,Boston,MA,2215,585000,586000,1,1,887,659,871.2,CONDO,FOR_SALE,Symphony Properties
24,81858046,"12 Stoneholm St APT 315, Boston, MA 02115",Stoneholm St APT 315,Boston,MA,2115,519000,518800,1,1,1474,352,435.6,CONDO,FOR_SALE,"Midtown Properties, Inc."
25,81857998,"108 Peterborough St APT 6A, Boston, MA 02215",Peterborough St APT 6A,Boston,MA,2215,649000,649700,1,1,1046,620,620.0,CONDO,FOR_SALE,"New Wave Boston Real Estate, LLC"
32,190005995,"820-824 Huntington Ave, Boston, MA 02115",824 Huntington Ave,Boston,MA,2115,2999000,2879000,10,6,632,4740,1500.0,MULTI_FAMILY,FOR_SALE,Advisors Living - Back Bay
36,59091876,"7 Saybrook St #1, Boston, MA 02135",Saybrook St #1,Boston,MA,2135,469000,431000,2,1,563,832,871.2,CONDO,FOR_SALE,Penrose Realty
37,2085579554,"5 Braemore Rd APT 5, Boston, MA 02135",Braemore Rd APT 5,Boston,MA,2135,339999,355900,1,1,883,385,435.6,CONDO,FOR_SALE,Penrose Realty
49,2085159874,"117 Sutherland Rd #117, Boston, MA 02135",Sutherland Rd #117,Boston,MA,2135,1249000,1249000,3,3,378,3300,2362.0,CONDO,FOR_SALE,Red Tree Real Estate
53,59212696,"36 Symphony Rd APT 4A, Boston, MA 02115",Symphony Rd APT 4A,Boston,MA,2115,1049000,1036500,3,2,920,1140,1306.8,CONDO,FOR_SALE,Leading Edge Real Estate
57,59177283,"65 Burbank St APT 14, Boston, MA 02115",Burbank St APT 14,Boston,MA,2115,499000,496000,1,1,1087,459,459.0,CONDO,FOR_SALE,Linnane Real Estate
59,59172993,"138 Saint Botolph St, Boston, MA 02115",Saint Botolph St,Boston,MA,2115,5495000,5278400,5,5,1077,5098,2178.0,SINGLE_FAMILY,FOR_SALE,Sprogis & Neale Real Estate
62,59177003,"51 Hemenway St APT 1, Boston, MA 02115",Hemenway St APT 1,Boston,MA,2115,750000,735700,2,1,870,862,862.0,CONDO,FOR_SALE,eXp Realty
66,59169052,"27 Hereford St, Boston, MA 02115",Hereford St,Boston,MA,2115,4999999,4575300,5,4,1337,3737,1742.4,SINGLE_FAMILY,FOR_SALE,Centre Realty Group
67,59169848,"352 Marlborough St, Boston, MA 02115",Marlborough St,Boston,MA,2115,9750000,9750000,4,7,2050,4754,1.0,SINGLE_FAMILY,FOR_SALE,MGS Group Real Estate LTD
68,2066674445,"126 Marion St, Boston, MA 02128",Marion St,Boston,MA,2128,1489000,1489000,8,6,335,4440,2613.6,MULTI_FAMILY,FOR_SALE,Benjamin Realty
